min_score,max_rent,rent,apt_score
1,43,0,Null
5,62,0,Null
1,69,0,Null
2,78,0,Null
2,85,0,Null
3,96,0,Null
1,103,0,Null
1,111,0,Null
1,115,0,Null
2,117,0,Null
1,118,0,Null
4,118,0,Null
3,120,0,Null
1,120,0,Null
1,122,0,Null
1,126,0,Null
1,130,0,Null
2,130,0,Null
1,130,0,Null
1,131,0,Null
3,132,0,Null
1,134,0,Null
1,135,0,Null
5,140,0,Null
2,142,0,Null
1,150,0,Null
3,152,0,Null
1,152,0,Null
1,155,0,Null
3,157,0,Null
3,159,0,Null
2,160,0,Null
1,161,0,Null
1,163,0,Null
5,166,0,Null
3,167,0,Null
1,167,0,Null
1,168,0,Null
1,168,0,Null
5,169,0,Null
4,173,0,Null
3,173,0,Null
2,174,0,Null
3,175,0,Null
2,175,0,Null
1,177,0,Null
1,177,0,Null
1,178,0,Null
1,181,0,Null
4,181,0,Null
4,182,0,Null
2,183,0,Null
1,184,0,Null
1,184,0,Null
5,184,0,Null
3,185,0,Null
2,188,0,Null
1,189,0,Null
1,190,0,Null
2,190,0,Null
3,190,0,Null
3,192,0,Null
1,192,0,Null
2,193,0,Null
3,193,0,Null
4,195,0,Null
2,197,0,Null
4,197,0,Null
2,198,0,Null
3,200,0,Null
5,201,0,Null
2,203,0,Null
1,203,0,Null
3,204,0,Null
1,204,0,Null
3,205,0,Null
5,205,0,Null
1,206,0,Null
2,208,0,Null
1,208,0,Null
1,209,0,Null
2,209,0,Null
3,212,0,Null
3,214,0,Null
1,214,0,Null
2,217,0,Null
3,218,0,Null
1,218,0,Null
1,220,0,Null
1,220,0,Null
3,220,0,Null
2,220,0,Null
1,222,0,Null
1,222,0,Null
1,224,0,Null
1,225,0,Null
1,225,0,Null
1,226,0,Null
5,228,0,Null
5,228,0,Null
5,229,0,Null
1,229,0,Null
4,229,0,Null
3,230,0,Null
3,232,0,Null
1,233,0,Null
1,234,0,Null
1,234,0,Null
4,235,0,Null
2,235,0,Null
1,238,0,Null
4,239,0,Null
1,239,0,Null
3,239,0,Null
5,240,0,Null
5,240,0,Null
2,240,0,Null
4,241,0,Null
4,243,0,Null
1,243,0,Null
2,244,0,Null
1,244,0,Null
3,245,0,Null
4,245,0,Null
2,246,0,Null
2,247,0,Null
1,247,0,Null
