min_score,max_rent,rent,apt_score
1,52,0,Null
3,76,0,Null
1,76,0,Null
4,90,0,Null
1,94,0,Null
3,96,0,Null
2,98,0,Null
1,99,0,Null
1,109,0,Null
1,110,0,Null
5,111,0,Null
3,115,0,Null
2,123,0,Null
1,126,0,Null
2,127,0,Null
4,127,0,Null
1,127,0,Null
3,128,0,Null
2,132,0,Null
3,136,0,Null
4,137,0,Null
1,137,0,Null
2,138,0,Null
3,140,0,Null
2,142,0,Null
2,144,0,Null
1,145,0,Null
3,145,0,Null
2,146,0,Null
2,148,0,Null
4,149,0,Null
1,152,0,Null
1,154,0,Null
1,154,0,Null
1,155,0,Null
5,159,0,Null
5,159,0,Null
1,159,0,Null
2,160,0,Null
1,161,0,Null
2,164,0,Null
1,165,0,Null
1,165,0,Null
1,166,0,Null
2,166,0,Null
2,167,0,Null
1,167,0,Null
3,170,0,Null
4,172,0,Null
3,177,0,Null
2,179,0,Null
3,180,0,Null
1,181,0,Null
2,183,0,Null
3,184,0,Null
3,184,0,Null
2,185,0,Null
1,185,0,Null
5,186,0,Null
3,187,0,Null
1,188,0,Null
2,189,0,Null
3,190,0,Null
1,190,0,Null
2,195,0,Null
1,195,0,Null
1,196,0,Null
1,198,0,Null
2,199,0,Null
1,200,0,Null
3,202,0,Null
1,210,0,Null
2,210,0,Null
3,212,0,Null
1,214,0,Null
3,216,0,Null
3,216,0,Null
1,217,0,Null
1,219,0,Null
1,219,0,Null
1,219,0,Null
2,220,0,Null
3,220,0,Null
3,222,0,Null
5,224,0,Null
3,224,0,Null
2,224,0,Null
3,227,0,Null
1,228,0,Null
1,228,0,Null
5,228,0,Null
1,229,0,Null
2,230,0,Null
1,230,0,Null
4,231,0,Null
1,232,0,Null
2,233,0,Null
2,234,0,Null
5,235,0,Null
5,236,0,Null
5,236,0,Null
1,236,0,Null
4,236,0,Null
3,237,0,Null
1,238,0,Null
1,238,0,Null
1,238,0,Null
2,239,0,Null
1,240,0,Null
2,240,0,Null
5,240,0,Null
4,240,0,Null
1,240,0,Null
2,241,0,Null
1,242,0,Null
2,243,0,Null
5,243,0,Null
1,244,0,Null
5,244,0,Null
3,244,0,Null
1,246,0,Null
3,247,0,Null
4,247,0,Null
1,249,0,Null
5,249,0,Null
1,250,0,Null
2,251,0,Null
1,251,0,Null
1,252,0,Null
2,252,0,Null
3,252,0,Null
3,252,0,Null
3,253,0,Null
1,254,0,Null
1,254,0,Null
2,255,0,Null
3,255,0,Null
3,256,0,Null
1,256,0,Null
4,257,0,Null
1,259,0,Null
2,261,0,Null
3,262,0,Null
5,262,0,Null
2,262,0,Null
4,263,0,Null
1,264,0,Null
3,265,0,Null
4,267,0,Null
1,267,0,Null
5,270,0,Null
3,271,0,Null
1,271,0,Null
3,273,0,Null
3,274,0,Null
1,274,0,Null
1,275,0,Null
5,275,0,Null
1,277,0,Null
1,277,0,Null
1,278,0,Null
1,278,0,Null
3,279,0,Null
5,279,0,Null
1,280,0,Null
1,280,0,Null
2,281,0,Null
3,282,0,Null
2,282,0,Null
1,283,0,Null
1,284,0,Null
3,284,0,Null
5,284,0,Null
1,285,0,Null
3,286,0,Null
1,286,0,Null
3,286,0,Null
4,288,0,Null
3,288,0,Null
2,288,0,Null
1,289,0,Null
1,294,0,Null
1,294,0,Null
2,294,0,Null
1,294,0,Null
3,294,0,Null
1,295,0,Null
4,296,0,Null
2,296,0,Null
2,296,0,Null
1,296,0,Null
2,297,0,Null
1,297,0,Null
2,298,0,Null
2,298,0,Null
4,298,0,Null
3,298,0,Null
1,298,0,Null
2,299,0,Null
1,299,0,Null
1,302,0,Null
3,303,0,Null
5,303,0,Null
1,304,0,Null
1,306,0,Null
5,307,0,Null
5,307,0,Null
3,308,0,Null
1,308,0,Null
1,309,0,Null
4,312,0,Null
2,312,0,Null
2,312,0,Null
1,313,0,Null
1,314,0,Null
1,314,0,Null
5,315,0,Null
1,315,0,Null
1,316,0,Null
1,316,0,Null
5,317,0,Null
4,317,0,Null
3,317,0,Null
5,320,0,Null
4,321,0,Null
2,322,0,Null
2,323,0,Null
2,323,0,Null
3,325,0,Null
1,325,0,Null
1,325,0,Null
2,326,0,Null
2,327,0,Null
4,327,0,Null
5,327,0,Null
1,328,0,Null
4,329,0,Null
4,329,0,Null
1,330,0,Null
1,330,0,Null
1,331,0,Null
4,332,0,Null
5,333,0,Null
4,333,0,Null
1,333,0,Null
1,334,0,Null
1,334,0,Null
3,335,0,Null
5,335,0,Null
3,335,0,Null
3,336,0,Null
3,337,0,Null
2,337,0,Null
5,337,0,Null
1,338,0,Null
5,339,0,Null
5,340,0,Null
2,340,0,Null
3,341,0,Null
2,342,0,Null
3,343,0,Null
5,343,0,Null
3,344,0,Null
3,344,0,Null
3,344,0,Null
1,345,0,Null
3,346,0,Null
2,346,0,Null
3,346,0,Null
3,347,0,Null
2,347,0,Null
1,349,0,Null
1,349,0,Null
1,349,0,Null
1,349,0,Null
1,350,0,Null
1,350,0,Null
3,350,0,Null
1,351,0,Null
2,351,0,Null
1,351,0,Null
4,352,0,Null
2,352,0,Null
4,353,0,Null
3,354,0,Null
1,354,0,Null
4,354,0,Null
2,355,0,Null
1,355,0,Null
3,355,0,Null
3,356,0,Null
3,356,0,Null
1,357,0,Null
2,357,0,Null
3,358,0,Null
3,359,0,Null
1,360,0,Null
4,360,0,Null
2,360,0,Null
4,361,0,Null
3,361,0,Null
4,361,0,Null
4,362,0,Null
1,362,0,Null
1,363,0,Null
2,364,0,Null
1,365,0,Null
3,366,0,Null
4,367,0,Null
4,367,0,Null
1,367,0,Null
1,368,0,Null
3,368,0,Null
5,368,0,Null
4,369,0,Null
4,369,0,Null
3,369,0,Null
2,369,0,Null
1,369,0,Null
1,369,0,Null
2,370,0,Null
1,370,0,Null
2,371,0,Null
1,373,0,Null
2,373,0,Null
3,374,0,Null
4,375,0,Null
5,377,0,Null
5,377,0,Null
3,377,0,Null
1,377,0,Null
1,377,0,Null
1,378,0,Null
5,379,0,Null
1,379,0,Null
4,379,0,Null
1,379,0,Null
1,381,0,Null
5,381,0,Null
4,381,0,Null
3,381,0,Null
1,382,0,Null
3,382,0,Null
2,384,0,Null
1,384,0,Null
1,384,0,Null
3,385,0,Null
4,386,0,Null
3,386,0,Null
1,387,0,Null
1,388,0,Null
2,388,0,Null
1,388,0,Null
1,388,0,Null
3,390,0,Null
4,390,0,Null
1,391,0,Null
1,391,0,Null
5,392,0,Null
1,394,0,Null
2,395,0,Null
1,395,0,Null
3,395,0,Null
1,396,0,Null
1,396,0,Null
1,397,0,Null
1,397,0,Null
1,397,0,Null
1,397,0,Null
1,397,0,Null
1,398,0,Null
3,399,0,Null
4,400,0,Null
4,400,0,Null
2,400,0,Null
1,400,0,Null
2,401,0,Null
1,402,0,Null
3,403,0,Null
3,403,0,Null
4,403,0,Null
1,404,0,Null
1,404,0,Null
1,404,0,Null
2,405,0,Null
1,405,0,Null
3,405,0,Null
3,405,0,Null
1,405,0,Null
4,406,0,Null
1,407,0,Null
2,407,0,Null
1,407,0,Null
1,407,0,Null
1,407,0,Null
1,407,0,Null
1,407,0,Null
1,407,0,Null
3,408,0,Null
1,410,0,Null
1,410,0,Null
1,410,0,Null
3,411,0,Null
1,411,0,Null
5,411,0,Null
1,412,0,Null
1,414,0,Null
3,414,0,Null
2,414,0,Null
2,415,0,Null
5,416,0,Null
4,416,0,Null
1,416,0,Null
1,416,0,Null
2,416,0,Null
1,416,0,Null
3,417,0,Null
5,417,0,Null
2,417,0,Null
3,418,0,Null
1,420,0,Null
1,420,0,Null
2,421,0,Null
3,421,0,Null
1,422,0,Null
1,422,0,Null
2,422,0,Null
3,423,0,Null
1,423,0,Null
1,424,0,Null
1,425,0,Null
1,425,0,Null
5,425,0,Null
3,425,0,Null
3,426,0,Null
1,426,0,Null
3,426,0,Null
1,427,0,Null
1,427,0,Null
1,428,0,Null
1,428,0,Null
3,428,0,Null
1,428,0,Null
3,428,0,Null
1,428,0,Null
1,428,0,Null
3,429,0,Null
2,430,0,Null
2,431,0,Null
5,431,0,Null
1,431,0,Null
