min_score,max_rent,rent,apt_score
1,42,0,
5,48,0,
3,59,0,
3,60,0,
5,62,0,
1,69,0,
5,70,0,
3,75,0,
4,77,0,
2,84,0,
1,86,0,
3,89,0,
2,93,0,
4,95,0,
1,99,0,
3,100,0,
1,100,0,
1,101,0,
3,102,0,
2,102,0,
2,105,0,
2,105,0,
4,106,0,
3,111,0,
2,111,110,2
1,116,110,2
1,116,105,2
4,117,0,
1,118,115,2
3,121,0,
5,121,0,
1,124,105,2
2,125,110,2
2,125,115,2
2,126,115,2
4,126,0,
3,127,0,
4,127,0,
1,128,115,2
3,131,0,
5,132,0,
3,133,0,
2,136,115,2
3,136,0,
3,137,0,
1,139,110,2
3,140,0,
1,140,115,2
3,142,0,
2,143,105,2
1,143,132,2
3,144,0,
1,146,126,2
5,147,0,
5,149,0,
1,151,120,2
4,151,0,
4,153,0,
3,155,0,
5,155,0,
3,156,0,
3,156,0,
5,156,0,
1,157,105,2
1,158,110,2
3,160,0,
2,161,126,2
3,161,0,
5,164,0,
2,167,110,2
5,169,0,
5,172,0,
4,172,0,
2,173,110,2
5,174,0,
2,174,105,2
2,175,115,2
2,177,126,2
3,177,0,
5,178,0,
2,179,115,2
4,180,0,
4,180,0,
3,181,0,
2,181,115,2
4,183,0,
2,183,110,2
2,184,105,2
5,184,0,
1,184,126,2
2,185,120,2
5,185,0,
1,187,105,2
4,187,0,
3,189,0,
4,189,0,
5,189,0,
3,191,0,
1,191,132,2
5,192,0,
2,193,126,2
2,194,120,2
3,194,0,
2,194,115,2
5,195,0,
4,198,0,
1,198,105,2
3,198,0,
4,199,0,
2,199,115,2
3,200,0,
3,200,0,
5,202,0,
5,204,0,
5,204,0,
4,207,0,
5,207,0,
3,207,0,
5,208,0,
5,210,0,
1,211,115,2
2,212,115,2
1,212,120,2
2,212,132,2
3,213,0,
3,214,0,
4,214,0,
2,216,110,2
5,217,0,
2,218,115,2
2,218,105,2
2,218,132,2
1,219,105,2
3,219,0,
4,220,0,
2,220,110,2
3,221,0,
3,221,0,
5,222,0,
