min_score,max_rent,rent,apt_score
1,35,0,
3,48,0,
5,63,0,
1,70,0,
4,71,0,
2,82,0,
2,88,0,
1,96,0,
1,97,0,
3,101,0,
4,103,0,
3,103,0,
3,103,0,
2,104,0,
3,106,0,
4,109,0,
4,110,0,
2,111,105,2
4,112,0,
4,112,0,
1,119,105,1
3,120,0,
4,121,0,
4,125,0,
1,126,115,2
3,129,0,
1,129,110,2
5,129,0,
3,130,0,
3,131,0,
1,131,120,2
5,136,0,
5,137,0,
5,139,0,
1,140,110,2
1,142,105,1
5,143,0,
4,144,0,
4,144,0,
3,144,0,
2,145,138,2
4,147,0,
5,149,0,
1,149,105,2
1,149,126,2
4,152,0,
3,153,0,
2,153,110,2
3,153,0,
5,153,0,
2,153,110,2
2,154,110,2
4,158,0,
1,158,105,2
2,161,132,2
2,161,120,2
3,162,0,
2,163,115,2
2,163,126,2
1,164,105,1
1,164,105,2
5,166,0,
5,166,0,
3,167,0,
5,168,0,
4,169,0,
3,169,0,
5,170,0,
1,171,115,2
5,174,0,
4,175,0,
2,175,132,2
3,175,0,
2,175,126,2
5,176,0,
4,176,0,
2,177,126,2
4,178,0,
5,178,0,
5,178,0,
4,179,0,
4,180,0,
5,180,0,
3,182,0,
2,182,120,2
1,185,115,2
1,185,115,2
2,185,126,2
5,186,0,
2,187,115,2
3,189,0,
4,189,0,
3,190,0,
1,192,115,2
4,192,0,
2,192,110,2
2,192,105,2
5,193,0,
5,193,0,
3,194,0,
3,195,0,
5,195,0,
2,195,110,2
1,196,110,2
1,196,120,2
5,197,0,
5,197,0,
1,197,105,2
3,197,0,
2,198,138,2
5,198,0,
5,198,0,
1,201,110,2
5,201,0,
4,201,0,
4,201,0,
2,202,110,2
3,204,0,
5,205,0,
2,205,110,2
2,206,115,2
1,207,115,2
3,207,0,
2,207,120,2
4,208,0,
2,208,110,2
4,210,0,
3,211,0,
2,211,126,2
4,212,0,
1,212,110,2
1,212,110,2
1,213,105,2
2,214,105,2
4,215,0,
5,215,0,
2,215,115,2
5,217,0,
2,217,144,2
1,218,126,2
3,218,0,
2,219,110,2
5,219,0,
2,219,144,2
3,220,0,
1,220,105,1
3,220,0,
5,221,0,
5,222,0,
2,222,126,2
5,222,0,
2,222,115,2
2,222,115,2
2,223,110,2
3,223,0,
4,224,0,
3,225,0,
1,226,132,2
1,227,115,2
2,228,110,2
3,230,0,
1,230,151,2
2,231,126,2
4,231,0,
2,232,138,2
1,233,115,2
1,233,110,2
5,233,0,
4,233,0,
1,234,126,2
4,234,0,
1,234,110,2
5,235,0,
2,235,115,2
5,235,0,
1,236,105,2
4,236,0,
1,240,138,2
2,240,110,2
4,242,0,
4,242,0,
3,242,0,
1,242,110,2
1,242,110,2
5,243,0,
4,243,0,
5,244,0,
1,244,115,2
4,245,0,
3,245,0,
2,246,126,2
1,246,110,2
2,246,144,2
4,246,0,
1,246,110,2
3,247,0,
3,247,0,
4,248,0,
5,248,0,
2,248,120,2
2,250,105,2
4,250,0,
2,250,110,2
3,251,0,
2,251,120,2
5,253,0,
5,253,0,
5,253,0,
4,254,0,
1,254,115,2
1,254,115,2
4,254,0,
4,255,0,
4,255,0,
2,255,115,2
5,255,0,
3,257,0,
4,257,0,
1,258,132,2
1,258,120,2
5,259,0,
1,259,115,2
1,259,110,2
4,260,0,
2,260,132,2
2,260,110,2
5,261,0,
5,261,0,
4,262,0,
2,262,126,2
1,262,105,1
5,262,0,
2,262,115,2
4,262,0,
3,263,0,
4,263,0,
2,263,105,2
2,263,120,2
3,266,0,
4,266,0,
3,266,0,
5,267,0,
2,267,110,2
3,268,0,
4,268,0,
3,268,0,
1,270,120,2
2,270,110,2
5,270,0,
3,271,0,
2,272,110,2
5,272,0,
4,273,0,
3,273,0,
5,274,0,
4,274,0,
2,274,120,2
3,274,0,
1,275,126,2
3,275,0,
3,276,0,
3,276,0,
2,276,110,2
2,276,105,2
3,276,0,
3,277,0,
5,277,0,
2,279,110,2
1,280,115,2
5,280,0,
5,280,0,
2,281,115,2
4,281,0,
2,281,132,2
2,281,115,2
4,281,0,
3,282,0,
5,282,0,
4,282,0,
1,283,105,2
2,283,110,2
4,283,0,
3,284,0,
3,284,0,
4,285,0,
2,285,126,2
5,285,0,
3,286,0,
1,286,126,2
2,286,115,2
4,286,0,
5,286,0,
5,287,0,
3,287,0,
1,287,120,2
4,288,0,
3,288,0,
5,288,0,
2,289,105,2
1,289,132,2
4,289,0,
2,289,110,2
1,290,105,1
1,290,120,2
2,292,151,2
4,292,0,
3,292,0,
5,292,0,
5,293,0,
4,293,0,
5,293,0,
1,293,120,2
2,293,115,2
2,294,115,2
1,295,105,1
5,295,0,
4,296,0,
3,296,0,
5,297,0,
3,298,0,
5,298,0,
2,299,110,2
4,299,0,
5,299,0,
5,300,0,
2,300,115,2
3,300,0,
3,300,0,
2,301,110,2
2,301,120,2
5,302,0,
4,302,0,
2,302,120,2
3,302,0,
4,303,0,
2,303,132,2
2,304,105,2
5,304,0,
5,306,0,
2,307,115,2
2,307,120,2
3,307,0,
2,307,120,2
2,308,144,2
2,309,110,2
1,309,120,2
3,310,0,
1,310,132,2
2,311,115,2
2,311,110,2
4,311,0,
4,311,0,
3,311,0,
2,311,115,2
5,312,0,
5,312,0,
5,312,0,
2,313,126,2
1,314,115,2
3,314,0,
4,315,0,
5,315,0,
3,315,0,
2,315,115,2
5,315,0,
2,315,120,2
4,315,0,
3,316,0,
2,316,120,2
3,317,0,
4,317,0,
4,317,0,
4,318,0,
3,319,0,
4,320,0,
4,320,0,
5,320,0,
1,321,110,2
4,321,0,
3,322,0,
5,322,0,
1,322,115,2
5,322,0,
4,322,0,
5,323,0,
1,323,110,2
2,324,120,2
1,324,105,2
2,324,115,2
4,324,0,
4,326,0,
5,327,0,
4,327,0,
1,327,126,2
4,327,0,
5,328,0,
1,328,105,2
2,329,105,2
1,329,105,1
1,329,151,2
2,329,126,2
3,329,0,
4,330,0,
1,330,110,2
1,331,110,2
5,331,0,
5,333,0,
2,333,115,2
1,334,132,2
4,334,0,
5,334,0,
4,334,0,
3,334,0,
5,334,0,
4,335,0,
1,335,120,2
1,335,120,2
5,336,0,
5,336,0,
3,336,0,
2,336,132,2
4,336,0,
3,336,0,
4,337,0,
2,337,105,2
1,338,115,2
4,338,0,
4,339,0,
2,339,110,2
3,340,0,
2,340,138,2
1,341,115,2
2,342,115,2
4,342,0,
1,342,115,2
2,342,110,2
2,343,120,2
4,343,0,
2,343,126,2
4,343,0,
3,343,0,
5,344,0,
1,344,120,2
3,344,0,
3,345,0,
3,345,0,
5,346,0,
2,347,126,2
3,347,0,
2,348,115,2
4,348,0,
1,348,120,2
1,349,110,2
5,349,0,
3,349,0,
2,350,115,2
4,350,0,
4,350,0,
5,350,0,
5,351,0,
1,351,110,1
2,351,132,2
5,351,0,
3,352,0,
3,352,0,
4,353,0,
1,355,126,2
3,355,0,
4,356,0,
2,356,144,2
4,356,0,
4,357,0,
2,357,115,2
2,357,110,2
5,358,0,
1,358,120,2
2,358,132,2
4,358,0,
4,358,0,
2,358,115,2
2,358,115,2
4,358,0,
1,358,126,2
3,359,0,
4,360,0,
1,360,110,2
3,360,0,
4,361,0,
5,361,0,
1,361,126,2
4,361,0,
1,362,120,2
4,362,0,
1,362,115,2
5,362,0,
3,363,0,
1,364,105,1
2,364,110,2
2,364,120,2
5,364,0,
2,364,126,2
3,364,0,
3,365,0,
2,365,132,2
5,365,0,
3,365,0,
4,366,0,
5,366,0,
4,366,0,
4,367,0,
4,367,0,
5,368,0,
4,368,0,
2,368,151,2
5,368,0,
3,369,0,
3,369,0,
4,369,0,
1,369,120,2
1,369,120,2
5,369,0,
1,369,105,2
4,369,0,
2,370,115,2
2,371,132,2
4,371,0,
5,371,0,
3,372,0,
2,372,110,2
5,372,0,
1,372,115,2
3,372,0,
3,373,0,
4,373,0,
4,373,0,
2,374,115,2
2,374,105,2
4,374,0,
5,374,0,
2,375,120,2
1,375,115,2
1,375,115,2
5,375,0,
4,375,0,
1,375,126,2
4,376,0,
4,376,0,
4,376,0,
3,376,0,
5,376,0,
5,376,0,
3,376,0,
5,377,0,
4,377,0,
3,377,0,
2,377,115,2
2,377,105,2
1,377,105,2
3,377,0,
2,378,115,2
3,378,0,
4,378,0,
4,378,0,
2,378,115,2
1,379,105,1
3,379,0,
4,379,0,
5,379,0,
3,379,0,
2,379,105,2
1,379,115,2
2,380,132,2
4,380,0,
3,380,0,
2,380,110,2
4,380,0,
4,381,0,
4,381,0,
1,382,115,2
3,383,0,
3,384,0,
4,384,0,
5,385,0,
5,385,0,
5,385,0,
5,386,0,
5,386,0,
4,386,0,
5,386,0,
5,386,0,
1,386,105,2
1,386,115,2
3,387,0,
5,387,0,
1,387,115,2
5,387,0,
3,388,0,
1,388,105,2
2,388,110,2
1,389,120,2
4,390,0,
2,391,126,2
1,391,115,2
5,391,0,
5,391,0,
2,392,115,2
5,392,0,
1,393,105,2
3,394,0,
5,394,0,
1,394,105,2
5,394,0,
1,394,110,2
5,394,0,
5,395,0,
2,395,126,2
4,395,0,
2,395,110,2
5,396,0,
5,396,0,
4,396,0,
4,397,0,
2,397,115,2
1,397,110,2
3,397,0,
4,398,0,
4,398,0,
5,398,0,
3,398,0,
2,399,110,2
5,399,0,
3,399,0,
1,399,132,2
4,400,0,
3,401,0,
4,401,0,
3,401,0,
4,402,0,
3,402,0,
5,402,0,
1,403,115,2
4,403,0,
4,403,0,
2,403,120,2
3,404,0,
2,404,120,2
4,405,0,
1,405,120,2
3,405,0,
3,405,0,
4,406,0,
1,406,144,2
3,406,0,
3,407,0,
1,407,132,2
5,408,0,
2,408,110,2
1,409,132,2
5,409,0,
4,409,0,
3,409,0,
3,409,0,
3,411,0,
1,411,115,2
4,412,0,
2,412,126,2
2,412,110,2
4,413,0,
5,413,0,
5,413,0,
3,413,0,
5,413,0,
4,414,0,
3,414,0,
3,414,0,
1,414,110,2
1,415,105,1
5,415,0,
3,415,0,
1,415,110,2
1,415,105,2
1,416,126,2
5,416,0,
2,417,110,2
4,417,0,
3,417,0,
1,417,110,2
1,418,115,2
2,418,115,2
1,418,110,2
2,418,105,2
3,419,0,
2,419,120,2
4,419,0,
3,420,0,
1,420,126,2
1,420,115,2
3,420,0,
5,421,0,
2,421,132,2
2,421,115,2
5,421,0,
4,421,0,
3,421,0,
1,422,105,1
1,422,138,2
1,422,120,2
3,423,0,
5,423,0,
1,423,110,2
4,424,0,
2,424,120,2
5,425,0,
5,425,0,
3,425,0,
2,425,138,2
1,425,105,2
1,425,105,2
5,427,0,
2,427,115,2
5,427,0,
5,427,0,
3,427,0,
2,427,120,2
5,428,0,
3,428,0,
4,428,0,
5,428,0,
3,428,0,
1,429,110,2
4,429,0,
1,430,126,2
5,430,0,
3,431,0,
2,431,132,2
5,431,0,
2,431,126,2
5,431,0,
3,432,0,
2,434,115,2
5,434,0,
1,434,110,2
5,434,0,
1,435,110,2
4,435,0,
2,435,115,2
4,435,0,
4,435,0,
2,436,151,2
1,436,105,2
3,436,0,
4,436,0,
5,437,0,
1,437,105,2
3,437,0,
4,438,0,
2,438,115,2
4,438,0,
4,438,0,
2,438,110,2
2,438,110,2
5,439,0,
4,439,0,
1,439,115,2
5,439,0,
4,439,0,
5,439,0,
3,440,0,
1,440,115,2
5,440,0,
1,441,126,2
2,441,120,2
4,442,0,
4,442,0,
4,443,0,
4,443,0,
1,443,115,2
4,444,0,
4,444,0,
4,445,0,
2,445,132,2
4,446,0,
4,447,0,
2,447,138,2
2,448,115,2
4,448,0,
3,448,0,
2,448,132,2
5,448,0,
2,450,115,2
2,450,115,2
2,450,110,2
5,450,0,
1,450,115,2
3,451,0,
5,451,0,
4,452,0,
2,452,115,2
2,452,105,2
1,452,115,2
1,453,126,2
2,453,110,2
2,453,115,2
1,453,105,2
2,453,120,2
1,453,120,2
5,454,0,
5,454,0,
1,454,115,2
5,454,0,
5,454,0,
5,455,0,
1,455,115,2
3,455,0,
1,455,105,1
1,455,115,2
3,455,0,
4,455,0,
1,456,110,1
4,456,0,
1,457,120,2
1,458,120,2
4,458,0,
1,458,115,2
1,458,105,2
2,459,115,2
3,459,0,
2,459,110,2
5,459,0,
1,460,126,2
2,461,115,2
1,461,110,2
5,461,0,
1,461,105,2
1,461,105,2
2,461,132,2
3,461,0,
3,461,0,
3,462,0,
2,462,115,2
1,462,105,1
2,462,110,2
1,462,105,2
1,462,110,2
4,463,0,
2,463,126,2
2,463,115,2
1,463,138,2
1,463,110,2
5,464,0,
4,464,0,
3,464,0,
1,465,115,2
3,465,0,
5,466,0,
5,466,0,
4,466,0,
1,466,120,2
5,466,0,
1,466,126,2
2,467,126,2
4,467,0,
4,467,0,
1,468,126,2
1,468,115,2
2,468,126,2
2,468,120,2
5,468,0,
1,469,138,2
3,469,0,
5,469,0,
5,469,0,
2,469,126,2
3,470,0,
5,470,0,
5,470,0,
5,470,0,
1,471,115,2
3,471,0,
5,471,0,
5,471,0,
2,471,110,2
5,472,0,
2,472,120,2
1,472,126,2
5,472,0,
1,473,120,2
5,473,0,
2,473,138,2
2,473,120,2
3,473,0,
4,474,0,
3,474,0,
2,474,115,2
5,474,0,
4,474,0,
3,474,0,
5,474,0,
3,475,0,
4,475,0,
4,476,0,
4,476,0,
3,476,0,
3,477,0,
1,477,115,2
3,477,0,
3,477,0,
3,478,0,
4,478,0,
1,478,110,2
2,478,105,2
5,479,0,
3,479,0,
5,479,0,
3,480,0,
4,480,0,
4,480,0,
3,480,0,
1,481,115,2
4,481,0,
4,481,0,
2,481,105,2
1,481,120,2
3,482,0,
5,483,0,
3,483,0,
1,483,105,1
5,483,0,
3,484,0,
4,484,0,
1,484,120,2
1,484,110,2
1,484,115,2
2,484,110,2
4,485,0,
5,485,0,
1,485,120,2
2,485,115,2
1,485,120,2
1,487,105,2
4,487,0,
3,487,0,
1,487,138,2
4,487,0,
4,487,0,
3,487,0,
4,487,0,
4,488,0,
2,488,120,2
2,489,110,2
3,489,0,
2,489,110,2
2,489,110,2
3,490,0,
2,490,126,2
4,490,0,
5,490,0,
4,490,0,
2,490,110,2
4,491,0,
3,491,0,
5,492,0,
1,492,132,2
4,492,0,
1,492,110,2
1,493,105,2
4,493,0,
1,493,126,2
5,493,0,
3,493,0,
4,494,0,
5,494,0,
3,495,0,
2,495,120,2
5,496,0,
1,496,105,2
3,496,0,
3,496,0,
4,497,0,
3,497,0,
2,497,105,2
3,497,0,
3,497,0,
5,497,0,
4,498,0,
2,498,115,2
1,498,115,2
4,499,0,
3,499,0,
1,499,105,1
5,499,0,
3,499,0,
2,500,115,2
1,500,115,2
5,500,0,
2,500,115,2
1,501,120,2
4,501,0,
2,501,115,2
3,502,0,
3,502,0,
1,503,115,2
2,503,105,2
5,503,0,
4,503,0,
5,503,0,
2,503,120,2
3,503,0,
1,503,105,2
2,504,120,2
4,504,0,
1,504,105,2
3,504,0,
3,504,0,
2,505,126,2
3,505,0,
3,505,0,
4,505,0,
3,505,0,
1,506,105,2
4,506,0,
3,506,0,
3,507,0,
1,507,110,2
4,507,0,
3,507,0,
2,508,110,2
3,508,0,
1,508,110,2
4,508,0,
5,508,0,
2,509,126,2
1,509,110,2
3,509,0,
3,509,0,
2,509,120,2
2,510,126,2
3,510,0,
1,510,115,2
5,510,0,
5,510,0,
1,510,120,2
1,511,110,2
5,511,0,
5,512,0,
3,512,0,
3,512,0,
2,513,120,2
3,513,0,
3,513,0,
5,513,0,
4,513,0,
3,513,0,
1,515,110,2
1,515,120,2
1,516,120,2
4,516,0,
3,516,0,
5,517,0,
2,517,132,2
3,517,0,
3,517,0,
