min_score,max_rent,rent,apt_score
5,60,0,
4,130,0,
2,138,0,
2,146,0,
2,152,0,
5,170,0,
1,194,105,1
5,196,0,
2,219,0,
4,221,0,
3,222,0,
2,223,0,
4,228,0,
2,235,0,
5,235,0,
4,241,0,
2,246,0,
2,251,0,
2,253,0,
4,255,0,
2,255,0,
5,268,0,
2,270,0,
4,276,0,
1,278,105,1
2,278,0,
2,284,0,
3,284,0,
1,288,105,1
1,288,105,1
3,292,0,
1,293,105,1
1,298,105,1
5,306,0,
1,306,105,1
2,308,0,
1,321,110,1
1,324,105,1
3,324,0,
5,338,0,
2,341,0,
1,347,105,1
1,350,105,1
3,350,0,
2,356,0,
3,357,0,
5,359,0,
3,359,0,
2,360,0,
2,361,0,
5,361,0,
5,361,0,
3,362,0,
1,363,105,1
3,366,0,
4,366,0,
1,369,110,1
1,370,105,1
4,371,0,
3,377,0,
3,381,0,
1,382,105,1
5,385,0,
3,387,0,
2,390,0,
5,392,0,
3,398,0,
5,398,0,
3,401,0,
5,402,0,
2,406,0,
1,410,105,1
4,411,0,
1,413,110,1
4,414,0,
4,414,0,
2,415,0,
4,415,0,
4,417,0,
1,420,105,1
4,423,0,
3,431,0,
1,433,110,1
2,435,402,2
1,441,105,1
3,446,0,
3,447,0,
2,450,402,2
2,453,422,2
1,455,105,1
3,456,0,
5,457,0,
1,458,105,1
4,461,0,
3,461,0,
4,463,0,
1,463,105,1
4,464,0,
2,467,465,2
5,467,0,
1,468,105,1
3,469,0,
4,471,0,
1,473,105,1
2,481,0,
5,481,0,
4,484,0,
4,485,0,
4,490,0,
3,491,0,
1,495,105,1
4,503,0,
5,509,0,
5,511,0,
3,514,0,
3,515,0,
2,520,465,2
1,521,105,1
2,524,512,2
2,527,465,2
3,531,0,
4,533,0,
1,535,105,1
2,535,402,2
4,536,0,
4,537,0,
3,539,0,
3,539,0,
2,544,512,2
2,544,512,2
2,548,512,2
5,549,0,
2,549,537,2
2,552,537,2
3,556,0,
4,561,0,
4,565,0,
2,566,422,2
2,570,488,2
4,570,0,
2,573,422,2
3,579,0,
2,581,537,2
3,582,0,
2,587,537,2
5,587,0,
5,589,0,
5,592,0,
2,595,537,2
2,595,537,2
4,597,0,
3,598,0,
3,600,0,
5,604,0,
5,606,0,
1,608,563,2
5,610,0,
1,612,563,2
4,613,0,
5,621,0,
4,623,0,
2,626,465,2
1,629,105,1
2,629,591,2
4,635,0,
4,636,0,
5,644,0,
3,647,0,
1,654,465,2
2,656,563,2
5,657,0,
5,658,0,
2,659,443,2
2,664,651,2
3,666,0,
4,669,0,
1,669,591,2
1,669,488,2
4,674,0,
1,674,465,2
1,677,488,2
3,677,0,
3,679,0,
4,682,0,
2,682,465,2
2,682,537,2
2,684,563,2
4,686,0,
2,692,563,2
5,692,0,
3,697,0,
1,701,110,1
4,702,0,
1,702,563,2
1,703,651,2
3,708,0,
1,708,537,2
1,711,422,2
1,711,105,1
3,717,0,
1,718,620,2
2,722,717,2
3,730,0,
2,733,683,2
1,734,105,1
2,739,651,2
4,740,0,
2,741,537,2
2,742,620,2
1,744,105,1
4,745,0,
1,746,537,2
3,748,0,
2,750,537,2
3,751,0,
2,753,512,2
3,757,0,
2,761,512,2
5,762,0,
2,767,591,2
3,768,0,
5,768,0,
4,770,0,
4,771,0,
1,772,591,2
4,773,0,
2,773,620,2
4,777,0,
4,782,0,
1,785,563,2
3,787,0,
3,794,0,
3,798,0,
3,798,0,
2,800,591,2
1,800,512,2
1,801,512,2
3,803,0,
2,809,651,2
4,811,0,
1,812,789,2
1,814,620,2
3,816,0,
2,819,752,2
4,823,0,
4,823,0,
2,826,683,2
3,830,0,
2,830,465,2
2,831,591,2
5,835,0,
2,836,828,2
2,836,443,2
2,837,651,2
1,840,591,2
5,845,0,
3,847,0,
2,850,683,2
5,853,0,
2,857,591,2
5,861,0,
5,869,0,
3,872,0,
5,879,0,
3,884,0,
3,885,0,
1,888,591,2
4,889,0,
4,889,0,
5,898,0,
5,900,0,
5,900,0,
5,900,0,
5,902,0,
4,907,0,
2,908,465,2
2,909,620,2
2,909,563,2
3,919,0,
2,920,563,2
5,921,0,
1,929,537,2
1,932,110,1
5,934,0,
1,939,465,2
5,943,0,
5,943,0,
5,950,0,
5,953,0,
3,953,0,
3,961,0,
4,963,0,
2,964,422,2
1,972,752,2
4,973,0,
3,974,0,
3,978,0,
2,982,620,2
4,985,0,
3,987,0,
3,994,0,
5,995,0,
