min_score,max_rent,rent,apt_score
4,31,0,
3,54,0,
5,62,0,
3,79,0,
2,80,0,
4,84,0,
4,94,0,
3,94,0,
5,97,0,
1,100,0,
1,100,0,
1,105,0,
5,107,0,
5,111,0,
4,113,0,
2,115,0,
3,117,0,
3,121,0,
3,123,0,
5,124,0,
2,125,0,
5,126,0,
2,130,0,
1,130,110,1
4,131,0,
4,131,0,
4,133,0,
2,134,0,
1,137,105,1
1,138,105,1
1,140,105,1
5,141,0,
3,142,0,
1,145,105,1
3,145,0,
4,145,0,
3,146,0,
5,146,0,
2,149,0,
3,150,0,
5,151,0,
3,151,0,
5,152,0,
4,156,0,
1,157,105,1
3,157,0,
2,157,0,
5,158,0,
4,158,0,
2,158,0,
2,159,0,
5,159,0,
1,159,105,1
1,160,105,1
3,161,0,
5,163,0,
5,164,0,
3,165,0,
3,167,0,
1,167,105,1
2,168,0,
2,168,0,
3,169,0,
3,169,0,
5,169,0,
5,170,0,
1,171,105,1
1,173,105,1
4,173,0,
1,175,105,1
5,175,0,
3,177,0,
5,177,0,
4,178,0,
3,178,0,
3,180,0,
5,180,0,
2,184,0,
4,185,0,
4,185,0,
5,185,0,
5,186,0,
4,186,0,
4,187,0,
4,188,0,
4,191,0,
5,192,0,
4,194,0,
3,194,0,
1,194,105,1
5,195,0,
1,195,105,1
2,196,0,
2,196,0,
3,197,0,
2,198,0,
1,198,105,1
2,200,0,
5,200,0,
2,203,0,
5,203,0,
1,204,105,1
4,205,0,
2,205,0,
3,205,0,
4,206,0,
4,207,0,
3,207,0,
1,207,105,1
3,209,0,
4,211,0,
1,211,105,1
4,211,0,
5,212,0,
1,213,105,1
3,214,0,
2,216,0,
1,218,105,1
2,219,0,
4,220,0,
2,222,0,
3,223,0,
5,223,0,
5,224,0,
3,224,0,
1,225,115,1
3,225,0,
2,225,0,
3,225,0,
5,225,0,
4,225,0,
4,226,0,
2,227,0,
2,227,0,
2,227,0,
4,227,0,
1,228,105,1
5,228,0,
1,228,105,1
1,229,105,1
4,229,0,
5,230,0,
3,231,0,
3,231,0,
3,231,0,
2,232,0,
3,233,0,
5,233,0,
2,234,0,
5,235,0,
3,235,0,
5,235,0,
4,236,0,
3,236,0,
4,236,0,
2,236,0,
3,237,0,
3,237,0,
1,238,105,1
4,239,0,
3,239,0,
5,240,0,
3,240,0,
1,241,110,1
1,241,105,1
2,242,0,
2,242,0,
3,243,0,
5,244,0,
4,245,0,
4,245,0,
5,246,0,
3,246,0,
5,246,0,
3,248,0,
1,248,105,1
4,248,0,
5,248,0,
2,249,0,
3,249,0,
4,250,0,
4,250,0,
3,251,0,
2,251,0,
2,251,0,
1,251,105,1
1,251,105,1
3,251,0,
5,252,0,
1,252,105,1
3,253,0,
1,254,105,1
4,254,0,
1,255,105,1
2,255,0,
2,256,0,
5,256,0,
3,256,0,
1,256,105,1
3,257,0,
1,257,105,1
1,257,105,1
3,259,0,
5,259,0,
4,259,0,
4,260,0,
5,260,0,
5,260,0,
2,261,0,
3,263,0,
3,263,0,
4,263,0,
3,264,0,
1,264,110,1
1,265,105,1
2,265,0,
5,265,0,
4,266,0,
5,266,0,
4,267,0,
1,269,105,1
2,270,0,
5,271,0,
1,271,105,1
5,271,0,
5,271,0,
4,272,0,
2,272,0,
2,272,0,
3,272,0,
4,273,0,
1,273,105,1
1,273,105,1
2,275,0,
1,276,105,1
4,277,0,
1,277,105,1
4,277,0,
5,277,0,
1,277,105,1
2,279,0,
2,280,0,
2,280,0,
2,280,0,
3,280,0,
1,281,105,1
5,281,0,
2,281,0,
5,281,0,
2,282,0,
2,282,0,
1,282,105,1
5,282,0,
4,282,0,
3,283,0,
2,283,0,
4,283,0,
4,283,0,
1,284,105,1
5,284,0,
4,284,0,
4,285,0,
1,285,105,1
1,285,110,1
4,285,0,
1,285,105,1
5,286,0,
5,286,0,
4,287,0,
3,287,0,
1,287,105,1
4,287,0,
5,288,0,
3,288,0,
4,288,0,
4,288,0,
2,289,0,
4,289,0,
2,293,0,
4,293,0,
4,293,0,
5,293,0,
4,294,0,
4,294,0,
1,294,105,1
